n,Iterative_double,Iterative_float,Delta
2,2.618034,2.618034,0.000000
3,4.236068,4.236068,0.000000
4,6.854102,6.854102,0.000000
5,11.090170,11.090170,0.000000
6,17.944272,17.944271,0.000001
7,29.034442,29.034441,0.000001
8,46.978714,46.978714,0.000000
9,76.013156,76.013153,0.000003
10,122.991869,122.991867,0.000002
11,199.005025,199.005020,0.000005
12,321.996894,321.996887,0.000007
13,521.001919,521.001892,0.000027
14,842.998814,842.998779,0.000034
15,1364.000733,1364.000732,0.000001
16,2206.999547,2206.999512,0.000035
17,3571.000280,3571.000244,0.000036
18,5777.999827,5778.000000,0.000173
19,9349.000107,9349.000000,0.000107
20,15126.999934,15127.000000,0.000066
21,24476.000041,24476.000000,0.000041
22,39602.999975,39603.000000,0.000025
23,64079.000016,64079.000000,0.000016
24,103681.999990,103682.000000,0.000010
25,167761.000006,167761.000000,0.000006
26,271442.999996,271443.000000,0.000004
27,439204.000002,439204.000000,0.000002
28,710646.999999,710647.000000,0.000001
29,1149851.000001,1149851.000000,0.000001
30,1860497.999999,1860498.000000,0.000001
31,3010349.000000,3010349.000000,0.000000
32,4870847.000000,4870847.000000,0.000000
33,7881196.000000,7881196.000000,0.000000
34,12752043.000000,12752043.000000,0.000000
35,20633239.000000,20633240.000000,1.000000
36,33385282.000000,33385284.000000,2.000000
37,54018521.000000,54018524.000000,3.000000
38,87403803.000000,87403808.000000,5.000000
39,141422324.000000,141422336.000000,12.000000
40,228826127.000000,228826144.000000,17.000000
41,370248451.000000,370248480.000000,29.000000
42,599074578.000000,599074624.000000,46.000000
43,969323029.000000,969323136.000000,107.000000
44,1568397607.000000,1568397824.000000,217.000000
45,2537720636.000000,2537720832.000000,196.000000
46,4106118243.000000,4106118656.000000,413.000000
47,6643838879.000000,6643839488.000000,609.000000
48,10749957122.000000,10749958144.000000,1022.000000
49,17393796001.000000,17393797120.000000,1119.000000
50,28143753123.000000,28143755264.000000,2141.000000
51,45537549124.000000,45537550336.000000,1212.000000
52,73681302247.000000,73681305600.000000,3353.000000
53,119218851371.000000,119218855936.000000,4565.000000
54,192900153618.000000,192900169728.000000,16110.000000
55,312119004989.000000,312119033856.000000,28867.000000
56,505019158607.000000,505019203584.000000,44977.000000
57,817138163596.000000,817138237440.000000,73844.000000
58,1322157322203.000000,1322157473792.000000,151589.000000
59,2139295485799.000000,2139295711232.000000,225433.000000
60,3461452808002.000000,3461453185024.000000,377022.000000
61,5600748293801.000000,5600749027328.000000,733527.000000
62,9062201101803.000000,9062202736640.000000,1634837.000000
63,14662949395604.000000,14662951239680.000000,1844076.000000
64,23725150497407.000000,23725153976320.000000,3478913.000000
65,38388099893011.000000,38388107313152.000000,7420141.000000
66,62113250390418.000000,62113263386624.000000,12996206.000000
67,100501350283429.000000,100501370699776.000000,20416347.000000
68,162614600673847.000000,162614642475008.000000,41801161.000000
69,263115950957276.000000,263116004786176.000000,53828900.000000
70,425730551631123.000000,425730647261184.000000,95630061.000000
71,688846502588399.000000,688846652047360.000000,149458961.000000
72,1114577054219522.000000,1114577299308544.000000,245089022.000000
73,1803423556807921.000000,1803424018464768.000000,461656847.000000
74,2918000611027443.000000,2918001317773312.000000,706745869.000000
75,4721424167835364.000000,4721425336238080.000000,1168402716.000000
76,7639424778862807.000000,7639426654011392.000000,1875148585.000000
77,12360848946698172.000000,12360851453378560.000000,2506680388.000000
78,20000273725560980.000000,20000277570519040.000000,3844958060.000000
79,32361122672259152.000000,32361129023897600.000000,6351638448.000000
80,52361396397820128.000000,52361406594416640.000000,10196596512.000000
81,84722519070079280.000000,84722533470830592.000000,14400751312.000000
82,137083915467899408.000000,137083940065247232.000000,24597347824.000000
83,221806434537978688.000000,221806473536077824.000000,38998099136.000000
84,358890350005878080.000000,358890422191259648.000000,72185381568.000000
85,580696784543856768.000000,580696895727337472.000000,111183480704.000000
86,939587134549734912.000000,939587317918597120.000000,183368862208.000000
87,1520283919093591552.000000,1520284282365411328.000000,363271819776.000000
88,2459871053643326464.000000,2459871669003485184.000000,615360158720.000000
89,3980154972736918016.000000,3980155951368896512.000000,978631978496.000000
90,6440026026380244992.000000,6440027620372381696.000000,1593992136704.000000
91,10420180999117162496.000000,10420183846619185152.000000,2847502022656.000000
92,16860207025497407488.000000,16860211466991566848.000000,4441494159360.000000
93,27280388024614567936.000000,27280396413122379776.000000,8388507811840.000000
94,44140595050111975424.000000,44140606780602318848.000000,11730490343424.000000
95,71420983074726543360.000000,71421003193724698624.000000,20118998155264.000000
96,115561578124838518784.000000,115561609974327017472.000000,31849488498688.000000
97,186982561199565045760.000000,186982613168051716096.000000,51968486670336.000000
98,302544139324403548160.000000,302544223142378733568.000000,83817975185408.000000
99,489526700523968593920.000000,489526853902616494080.000000,153378647900160.000000
100,792070839848372142080.000000,792071077044995227648.000000,237196623085568.000000
